days elong signed k diam dist
363.9768 19.10979 19.10979 0.946827 10.5022 1.589036
364.9500 19.34988 19.34988 0.945504 10.5251 1.585586
365.9232 19.58949 19.58949 0.944167 10.5482 1.582103
366.8964 19.82862 19.82862 0.942816 10.5717 1.578585
367.8696 20.06727 20.06727 0.941451 10.5956 1.575034
368.8428 20.30544 20.30544 0.940073 10.6197 1.571449
369.8160 20.54311 20.54311 0.938681 10.6443 1.567831
370.7892 20.78030 20.78030 0.937275 10.6691 1.564179
371.7624 21.01699 21.01699 0.935856 10.6943 1.560495
372.7356 21.25319 21.25319 0.934423 10.7198 1.556778
373.7088 21.48890 21.48890 0.932976 10.7457 1.553029
374.6820 21.72410 21.72410 0.931516 10.7719 1.549247
375.6552 21.95881 21.95881 0.930042 10.7985 1.545433
376.6284 22.19301 22.19301 0.928555 10.8255 1.541587
377.6016 22.42670 22.42670 0.927054 10.8528 1.537710
378.5748 22.65989 22.65989 0.925540 10.8804 1.533800
379.5480 22.89257 22.89257 0.924011 10.9084 1.529860
380.5212 23.12474 23.12474 0.922470 10.9368 1.525888
381.4944 23.35639 23.35639 0.920915 10.9656 1.521884
382.4676 23.58753 23.58753 0.919346 10.9948 1.517850
383.4408 23.81815 23.81815 0.917763 11.0243 1.513785
384.4140 24.04825 24.04825 0.916167 11.0542 1.509689
385.3872 24.27782 24.27782 0.914557 11.0845 1.505563
386.3604 24.50687 24.50687 0.912933 11.1152 1.501406
387.3336 24.73539 24.73539 0.911296 11.1463 1.497219
388.3068 24.96339 24.96339 0.909644 11.1777 1.493002
389.2800 25.19084 25.19084 0.907979 11.2096 1.488755
390.2532 25.41777 25.41777 0.906300 11.2419 1.484478
391.2264 25.64416 25.64416 0.904607 11.2746 1.480171
392.1996 25.87000 25.87000 0.902900 11.3078 1.475835
393.1728 26.09530 26.09530 0.901178 11.3413 1.471469
394.1460 26.32006 26.32006 0.899443 11.3753 1.467074
395.1192 26.54427 26.54427 0.897693 11.4097 1.462649
396.0924 26.76793 26.76793 0.895929 11.4445 1.458195
397.0656 26.99103 26.99103 0.894151 11.4798 1.453712
398.0388 27.21357 27.21357 0.892358 11.5156 1.449200
399.0120 27.43556 27.43556 0.890551 11.5518 1.444659
399.9852 27.65697 27.65697 0.888728 11.5884 1.440089
400.9584 27.87783 27.87783 0.886892 11.6256 1.435491
401.9316 28.09810 28.09810 0.885040 11.6632 1.430864
402.9048 28.31781 28.31781 0.883173 11.7012 1.426208
403.8780 28.53693 28.53693 0.881292 11.7398 1.421524
404.8512 28.75548 28.75548 0.879395 11.7788 1.416811
405.8244 28.97343 28.97343 0.877483 11.8184 1.412070
406.7976 29.19080 29.19080 0.875555 11.8584 1.407301
407.7708 29.40757 29.40757 0.873612 11.8990 1.402503
408.7440 29.62374 29.62374 0.871654 11.9401 1.397678
409.7172 29.83931 29.83931 0.869680 11.9817 1.392824
410.6904 30.05427 30.05427 0.867689 12.0238 1.387942
411.6636 30.26861 30.26861 0.865683 12.0665 1.383032
412.6368 30.48234 30.48234 0.863661 12.1098 1.378095
413.6100 30.69544 30.69544 0.861622 12.1535 1.373129
414.5832 30.90792 30.90792 0.859567 12.1979 1.368136
415.5564 31.11975 31.11975 0.857496 12.2428 1.363115
416.5296 31.33095 31.33095 0.855407 12.2883 1.358066
