days elong signed k diam dist
85.1718 18.45251 18.45251 0.708604 6.0659 1.109106
85.3649 18.60117 18.60117 0.703888 6.0861 1.105413
85.5581 18.74807 18.74807 0.699183 6.1066 1.101712
85.7512 18.89321 18.89321 0.694487 6.1272 1.098003
85.9443 19.03659 19.03659 0.689803 6.1480 1.094286
86.1375 19.17820 19.17820 0.685131 6.1690 1.090562
86.3306 19.31805 19.31805 0.680470 6.1902 1.086831
86.5237 19.45612 19.45612 0.675823 6.2115 1.083095
86.7169 19.59241 19.59241 0.671188 6.2331 1.079353
86.9100 19.72692 19.72692 0.666567 6.2548 1.075605
87.1031 19.85964 19.85964 0.661960 6.2767 1.071854
